ID,teamName,year,avgPPD,oppTO,penalties,TO,wins,roundedTO,roundedPPD,roundedOppTO,roundedPenalties,playoffs
607,car,2001,1.11,36,87,35,1,35,1,35,90,NO
587,cin,2001,1.09,28,103,37,6,35,1,30,105,NO
584,cle,2001,1.27,42,94,33,7,35,1.5,40,90,NO
580,clt,2001,1.97,25,76,38,6,40,2,25,75,NO
596,crd,2001,1.44,24,72,27,7,25,1.5,25,75,NO
597,dal,2001,1.17,25,91,34,5,35,1,25,90,NO
590,den,2001,1.66,37,95,27,8,25,1.5,35,90,NO
602,det,2001,1.3,22,116,38,2,40,1.5,20,120,NO
586,jax,2001,1.41,24,97,27,6,25,1.5,25,90,NO
591,kan,2001,1.64,26,68,33,6,35,1.5,25,75,NO
601,min,2001,1.52,18,109,39,5,40,1.5,20,105,NO
605,nor,2001,1.66,30,119,35,7,35,1.5,30,120,NO
595,nyg,2001,1.42,28,97,29,7,30,1.5,30,90,NO
585,oti,2001,1.56,24,119,28,7,30,1.5,25,120,NO
592,sdg,2001,1.51,31,97,29,5,30,1.5,30,90,NO
589,sea,2001,1.44,27,66,21,9,20,1.5,25,60,NO
594,was,2001,1.24,34,104,28,8,30,1,35,105,NO
638,atl,2000,1.17,25,97,34,4,35,1,25,90,NO
611,buf,2000,1.51,29,101,23,8,25,1.5,30,105,NO
636,car,2000,1.56,38,84,35,7,35,1.5,40,90,NO
633,chi,2000,0.97,20,90,29,5,30,1,20,90,NO
617,cin,2000,0.89,21,99,35,4,35,1,20,105,NO
618,cle,2000,0.81,25,103,28,3,30,1,25,105,NO
628,crd,2000,1.15,20,96,44,3,45,1,20,90,NO
627,dal,2000,1.49,25,108,39,5,40,1.5,25,105,NO
632,det,2000,1.38,42,106,31,9,30,1.5,40,105,NO
631,gnb,2000,1.72,28,88,33,9,35,1.5,30,90,NO
616,jax,2000,1.85,30,95,29,7,30,2,30,90,NO
621,kan,2000,1.78,29,118,26,7,25,2,30,120,NO
612,nwe,2000,1.38,23,99,25,5,25,1.5,25,105,NO
610,nyj,2000,1.5,35,76,40,9,40,1.5,35,75,NO
615,pit,2000,1.54,35,81,21,9,20,1.5,35,75,NO
623,sdg,2000,1.15,22,121,50,1,50,1,20,120,NO
622,sea,2000,1.56,29,89,38,6,40,1.5,30,90,NO
637,sfo,2000,2.07,21,134,19,6,20,2,20,135,NO
626,was,2000,1.48,33,115,33,8,35,1.5,35,120,NO
667,atl,1999,1.42,18,110,35,5,35,1.5,20,105,NO
666,car,1999,2.14,29,106,34,8,35,2,30,105,NO
664,chi,1999,1.27,33,117,37,6,35,1.5,35,120,NO
648,cin,1999,1.33,27,126,32,4,30,1.5,25,120,NO
649,cle,1999,1.2,20,92,31,2,30,1,20,90,NO
658,crd,1999,1.09,27,70,40,6,40,1,25,75,NO
654,den,1999,1.49,26,114,28,6,30,1.5,25,120,NO
663,gnb,1999,1.69,41,100,36,8,35,1.5,40,105,NO
651,kan,1999,1.5,45,126,24,9,25,1.5,45,120,NO
669,nor,1999,1.22,34,110,39,3,40,1,35,105,NO
643,nwe,1999,1.33,31,95,33,8,35,1.5,30,90,NO
657,nyg,1999,1.37,24,98,32,7,30,1.5,25,105,NO
642,nyj,1999,1.49,35,87,22,8,20,1.5,35,90,NO
659,phi,1999,1.09,46,102,39,5,40,1,45,105,NO
647,pit,1999,1.53,28,119,25,6,25,1.5,30,120,NO
653,rai,1999,1.9,33,98,29,8,30,2,35,105,NO
